ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id
365,Sudan,SDN,,,Africa,add,Movement restrictions,Checkpoints within the country,No,"Checkpoints are used to monitor the movement of people. The checkpoints are at Khartoum Airport, Port Sudan Airport, and Port Sudan Port. In addition to four checkpoints in the Northern State and two isolation centers in Khartoum.",Not applicable,2020-01-20,US Embassy,Government,https://sd.usembassy.gov/covid-19-information/,2020-03-15,,restricting inter-regional movement,mobility-based,,,,
810,Sudan,SDN,,,Africa,add,Movement restrictions,Border closure ,No,"Sudan closes all airports, ports and land crossings. Only humanitarian, commercial and technical support shipments were excluded from the restrictions.",Not applicable,2020-03-16,Aljazeera,Media,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,2020-03-17,,closing borders,mobility-based,,,,
811,Sudan,SDN,,,Africa,add,Movement restrictions,International flights suspension,No,closure of all airports,Not applicable,2020-03-16,Aljazeera,Media,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,2020-03-17,,closing borders,mobility-based,,,,
818,Sudan,SDN,,,Africa,add,Social distancing,Schools closure ,No,closure of all schools and education institutions for one month,Not applicable,2020-03-15,DabangaSudan,Media,https://www.dabangasudan.org/en/all-news/article/coronavirus-measures-sudan-s-council-of-ministers-issue-directions,2020-03-17,,school closure,contact-based,,,,
2994,Sudan,SDN,,,Africa,add,Movement restrictions,Curfews,No,Curfew of 8pm - 6am.,Up to detention,2020-03-24,Dabanga News,Media,https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks,2020-03-29,,social distancing,reproduction number-based,,,,
2995,Sudan,SDN,,,Africa,add,Movement restrictions,Border closure ,No,All borders have been closed and all air traffic has been banned.,Not applicable,2020-03-24,Dabanga News,Media,https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks,2020-03-29,,closing borders,mobility-based,,,,
2996,Sudan,SDN,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,Public transport has been stopped.,Not applicable,2020-03-26,Dabanga News,Media,https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks,2020-03-29,,restricting inter-regional movement,mobility-based,,,,
3606,Sudan,SDN,,,Africa,add,Social distancing,Limit public gatherings,No,the Government of Sudan has banned all bus transportation between cities and states.,,2020-03-26,US Embassy,Government,https://sd.usembassy.gov/covid-19-information/,2020-04-02,,reduction of size of gatherings,reproduction number-based,,,,
3607,Sudan,SDN,,,Africa,add,Movement restrictions,Curfews,No,The government increased the curfew to 6pm-6am (was 8pm-6am).,,2020-03-31,US Embassy,Government,https://sd.usembassy.gov/covid-19-information/,2020-04-02,https://www.dabangasudan.org/en/all-news/article/sudan-this-week-s-news-in-brief-3,social distancing,reproduction number-based,,,,
5337,Sudan,SDN,Khartoum State,,Africa,add,Lockdown,Partial lockdown,No,Khartoum state will from Saturday go on a three-week lockdown to curb the spread of coronavirus.,Not available,2020-04-18,BBC,Media,https://www.bbc.com/news/world/africa/live,2020-04-14,,partial lockdown,reproduction number-based,,,,
