ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id,compliance,use_in_model
191,Congo DR,COD,,,Africa,add,Public health measures,Isolation and quarantine policies,Yes,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms.",Not applicable,2020-03-10,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-03-15,,social distancing,reproduction number-based,['CD'],,,,,
204,Congo DR,COD,,,Africa,add,Public health measures,Health screenings in airports and border crossings,No,"Health screenings at airports for COVID-19 symptoms, travelers with symptoms have to quarantine for 14 days",Not applicable,2020-03-10,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-03-15,,closing borders,mobility-based,['CD'],,,,,
1126,Congo DR,COD,,,Africa,add,Movement restrictions,International flights suspension,Yes, All international passenger flights until at least April 3.  Only cargo flights and boats will be permitted entry.,Not applicable,2020-03-20,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-03-21,https://cd.usembassy.gov/covid-19-information/,closing borders,mobility-based,['CD'],,,,,
1127,Congo DR,COD,,,Africa,add,Social distancing,Schools closure ,No,Until April 17,Not applicable,2020-03-19,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-03-21,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,school closure,contact-based,['CD'],,,,,
1128,Congo DR,COD,,,Africa,add,Social distancing,Limit public gatherings,No,Gathering of more than 20 people are banned. ,Not applicable,2020-03-18,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-03-21,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
1129,Congo DR,COD,,,Africa,add,Public health measures,Isolation and quarantine policies,No,"All travelers entering the DRC who have a fever will be tested, and any persons positive for COVID-19 will be hospitalized at DRC government expense. Both categories will be subject to a mandatory 14-day quarantine.  All persons traveling domestically from Kinshasa to other provinces will be subject to preventative screening.",Not applicable,2020-03-20,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-03-21,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,social distancing,reproduction number-based,"['CD', 'CD10']",,,,,
1130,Congo DR,COD,,,Africa,add,Social distancing,Limit public gatherings,No,"Bars, cafe and restaurants are closed until further notice.",Not applicable,2020-03-18,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-03-21,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
2704,Congo DR,COD,,,Africa,add,Movement restrictions,Border closure ,No,All borders are closed except trade transportation.,Not applicable,2020-03-25,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-03-27,,closing borders,mobility-based,['CD'],,,['9728'],,
2705,Congo DR,COD,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,Domestic travels between Kinshasa and the rest of the country are forbidden. Does not apply to trade.,Not applicable,2020-03-25,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-03-27,,restricting inter-regional movement,mobility-based,"['CD', 'CD10']",,,,,
2706,Congo DR,COD,,,Africa,add,Social distancing,Limit public gatherings,No,Public gathering are not allowed in the streets.,Not applicable,2020-03-25,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-03-27,,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
