ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id
1,Afghanistan,AFG,,,Asia,add,Public health measures,Health screenings in airports and border crossings,No,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,,closing borders,mobility-based,['AF'],,,
2,Afghanistan,AFG,Kabul,,Asia,add,Public health measures,Isolation and quarantine policies,No,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,,social distancing,reproduction number-based,['AF01'],,,
3,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,No,,,2020-02-12,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,2020-03-14,,social distancing,reproduction number-based,['AF'],,,
5,Afghanistan,AFG,,,Asia,add,Social distancing,Limit public gatherings,No,Nevruz festival cancelled,,2020-03-12,AA,Media,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,2020-03-14,,reduction of size of gatherings,reproduction number-based,['AF'],,,
6,Afghanistan,AFG,,,Asia,add,Movement restrictions,Border closure ,No,Closure of borders with Iran,,2020-02-24,Guardian,Media,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,2020-03-14,,closing borders,mobility-based,"['AF32', 'AF33', 'AF34']",,,
8,Afghanistan,AFG,Herat,,Asia,add,Social distancing,Schools closure ,No,,,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,2020-03-14,,school closure,contact-based,['AF32'],,,
10,Afghanistan,AFG,Herat,,Asia,add,Social distancing,Limit public gatherings,No,all public gatherings banned,,2020-03-01,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,2020-03-14,,reduction of size of gatherings,reproduction number-based,['AF32'],,,
17,Afghanistan,AFG,,,Asia,add,Governance and socio-economic measures,Limit product imports/exports,No,Food imports from Iran and Afghanistan has been limited,,2020-03-01,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,2020-03-14,,closing borders,mobility-based,['AF'],,,
23,Afghanistan,AFG,,,Asia,add,Movement restrictions,Border checks ,Yes,All China and Iran nationals,,2020-02-01,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,2020-03-14,,closing borders,mobility-based,"['AF0101', 'AF3201', 'AF2701', 'AF2101']",,,
4245,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,No,MoPH begins announcements on their facebook to make public aware of coronavirus. ,,2020-01-24,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1005130256522820?__tn__=-R,2020-04-07,,social distancing,reproduction number-based,['AF'],,,
4246,Afghanistan,AFG,,,Asia,add,Public health measures,Health screenings in airports and border crossings,Yes,Health teams at airports will check passengers coming from China. ,,2020-01-26,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1006458563056656?__tn__=-R ,2020-04-07,,closing borders,mobility-based,"['AF0101', 'AF3201', 'AF2701', 'AF2101']",,,
4247,Afghanistan,AFG,,,Asia,add,Movement restrictions,International flights suspension,Yes,Flights to China are suspended. ,,2020-01-27,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater,2020-04-07,,closing borders,mobility-based,['AF'],,,
4248,Afghanistan,AFG,,,Asia,add,Public health measures,Health screenings in airports and border crossings,No,Health screenings of all passengers at airports. ,,2020-01-27,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater,2020-04-07,,closing borders,mobility-based,['AF'],,,
4250,Afghanistan,AFG,,,Asia,add,Public health measures,Isolation and quarantine policies,No,,,2020-02-02,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R,2020-04-07,,social distancing,reproduction number-based,['AF'],,,
4251,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,No,"Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. ",,2020-02-04,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1013023885733457?__tn__=-R,2020-04-07,,social distancing,reproduction number-based,['AF'],,,
4254,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,Yes,the launch of education programs for doctors to handle COVID-19,,2020-02-08,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1015946255441220?__tn__=-R,2020-04-07,,social distancing,reproduction number-based,['AF'],,,
4255,Afghanistan,AFG,Kabul,,Asia,add,Public health measures,Isolation and quarantine policies,Yes,Established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19,,2020-02-12,Afghanistan MoPH,Government,http://tinyurl.com/rsfhsz9,2020-04-07,http://tinyurl.com/twpqsek ,social distancing,reproduction number-based,['AF'],,,
4259,Afghanistan,AFG,,,Asia,add,Movement restrictions,Domestic travel restrictions,Yes,Avoid domestic travel to the Herat province. ,,2020-02-24,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,2020-04-07,,restricting inter-regional movement,mobility-based,['AF32'],,,
4261,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,No,"Awareness campaign expands to include avoiding kissing, weddings, meetings, funerals, and other social luxuries. ",,2020-02-24,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,2020-04-07,,social distancing,reproduction number-based,['AF'],,,
4263,Afghanistan,AFG,Midday Province,,Asia,add,Movement restrictions,Border checks ,Yes,"Increased the screened teams on the ground and air border, especially the provinces of the border with Iran to identify the people with this virus (Midday Province). ",,2020-03-01,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1030421290660383?__tn__=-R,2020-04-07,,closing borders,mobility-based,"['AF32', 'AF33', 'AF34']",,,
4267,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,No,New awareness campaign to “prevent the spread of coronavirus” ,,2020-03-11,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1040295806339598?__tn__=-R,2020-04-07,,social distancing,reproduction number-based,['AF'],,,
4268,Afghanistan,AFG,,,Asia,add,Social distancing,Schools closure ,No,"School closures until ""the end of the month"" (Afghanistan uses the Solar Hijri calendar) ",,2020-03-15,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1043286092707236?__tn__=-R,2020-04-07,,school closure,contact-based,['AF'],,,
4269,Afghanistan,AFG,Herat Province,,Asia,add,Public health measures,Health screenings in airports and border crossings,Yes,"Installed new heat censor machines to detect fever at passengers coming through ports of entry into the country and ports into and out of Herat Province (the epicenter of the outbreak in Afghanistan, at this point in time). ",,2020-03-19,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1046184142417431?__tn__=-R,2020-04-07,,closing borders,mobility-based,['AF32'],,,
4274,Afghanistan,AFG,,,Asia,add,Social distancing,Limit public gatherings,No,People should avoid official and non-official protests (gatherings?) to prevent the spread of coronavirus. ,,2020-03-22,Afghanistan MoPH,Government,https://www.facebook.com/af.moph/posts/1048731302162715?__tn__=-R,2020-04-07,,reduction of size of gatherings,reproduction number-based,['AF'],,,
4276,Afghanistan,AFG,Kabul,,Asia,add,Lockdown,Partial lockdown,Yes,"The Afghan Ministries of Public Health and Interior jointly announced that the city of Kabul would be placed on lockdown for 21 days due to spread of the COVID-19 coronavirus. Residents may only move outside their homes to obtain essential food and medicine; and provide caregiving. According to the government, vehicles carrying more than four passengers, as well as buses, are prohibited from traveling in and out of Kabul. ",,2020-03-28,US Embassy,Government,https://af.usembassy.gov/message-for-u-s-citizens-movement-restrictions-in-kabul-march-27-2020/,2020-04-07,,partial lockdown,reproduction number-based,['AF0101'],,,
9923,Afghanistan,AFG,,,Asia,add,Social distancing,Changes in prison-related policies,No,Releases Hundreds of Prisoners to Limit Coronavirus Outbreaks,Not applicable,2020-03-31,Democracy Now!,Media,https://www.democracynow.org/2020/3/31/headlines/afghanistan_releases_hundreds_of_prisoners_to_limit_coronavirus_outbreaks,2020-05-11,https://www.democracynow.org/2020/3/31/headlines/afghanistan_releases_hundreds_of_prisoners_to_limit_coronavirus_outbreaks,social distancing,reproduction number-based,['AF'],,,
11020,Afghanistan,AFG,,,Asia,add,Movement restrictions,International flights suspension,No,international flight suspension,Not applicable,2020-04-01,ReliefWeb,Other organisations,https://reliefweb.int/sites/reliefweb.int/files/resources/daily_brief_covid-19_01_april_2020.pdf,2020-05-18,,closing borders,mobility-based,['AF'],,,
11021,Afghanistan,AFG,,,Asia,add,Public health measures,Awareness campaigns,No,General hygiene campaign,Not applicable,2020-05-12,Ministry of Public Health of Afghanistan,Government,https://www.facebook.com/af.moph/posts/1086900285012483?__cft__[0]=AZVjstj7Ea6ixpn6_RVpG6FyOsFwWk1NFDijTmSS2C80pSEIi2oLlkmF6rre276PHMOTN56gvzh4fiEXADKdaqCOZS4gAsevqyjWlKWXOt_F0k6G9qU0SO6TyyD6j1nJxT5fCMgvKJJPs-dzmcuiTUhUI80F0E7oRtpQj7IPw-VToD33zSPZ65WYoGy8NWW16d04wXJwxz2dS4k-CkeTeAB_&__tn__=%2CO%2CP-R,2020-05-18,,social distancing,reproduction number-based,['AF'],,,
11022,Afghanistan,AFG,,,Asia,remove,Movement restrictions,Border closure ,No,"The Government of Afghanistan has re-opened its border with Iran, which had been closed briefly to all air and ground travel.",Not applicable,2020-05-14,US Embassy in Afghanistan,Government,https://af.usembassy.gov/covid-19-information/,2020-05-18,,closing borders,mobility-based,"['AF32', 'AF33', 'AF34']",,,
